Category,Page,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,3,1,3,0,11.0,83.0,37.0
2,3,4,3,0,96.0,475.0,252.0
2,3,4,3,0,91.0,430.0,375.0
2,3,1,3,0,100.0,397.0,269.0
2,3,1,3,0,33.0,273.0,203.0
2,3,1,3,0,35.0,463.0,243.0
2,3,4,3,0,218.0,749.0,713.0
2,3,1,3,0,187.0,2369.0,477.0
2,3,1,3,0,75.0,819.0,760.0
2,3,1,3,0,21.0,464.0,188.0
2,3,1,3,0,9.0,46.0,34.0
2,3,1,3,0,127.0,167.0,81.0
2,3,1,3,0,79.0,604.0,256.0
2,3,1,3,0,8.0,51.0,36.0
2,3,1,3,0,217.0,2790.0,349.0
2,3,1,3,0,537.0,1723.0,440.0
2,3,1,3,0,152.0,431.0,276.0
2,3,1,3,0,53.0,299.0,262.0
2,3,1,3,0,18.0,100.0,122.0
2,3,1,3,0,87.0,459.0,132.0
2,3,1,3,0,209.0,2033.0,500.0
2,3,1,3,0,279.0,2409.0,537.0
2,3,1,3,0,21.0,307.0,218.0
2,3,1,3,0,31.0,377.0,103.0
2,3,1,3,0,27.0,177.0,98.0
2,3,1,3,0,13.0,57.0,45.0
2,3,1,3,0,26.0,66.0,80.0
2,3,1,3,0,29.0,171.0,72.0
2,3,1,3,0,16.0,73.0,62.0
2,3,1,3,0,128.0,392.0,96.0
2,3,1,3,0,38.0,171.0,72.0
2,3,1,3,0,39.0,143.0,103.0
2,3,2,3,0,8.0,50.0,21.0
2,3,1,3,0,8.0,529.0,196.0
2,3,1,3,0,315.0,1499.0,361.0
2,3,4,3,0,271.0,1234.0,387.0
2,3,1,3,0,10.0,77.0,64.0
2,3,1,3,1,110.0,513.0,191.0
2,3,1,3,0,6.0,45.0,30.0
2,3,1,3,0,11.0,140.0,150.0
2,3,1,3,0,136.0,685.0,208.0
2,3,1,3,0,25.0,121.0,111.0
2,3,1,3,0,619.0,3588.0,187.0
2,3,1,3,0,55.0,353.0,171.0
2,3,1,3,0,20.0,181.0,182.0
2,3,1,3,0,133.0,802.0,541.0
2,3,1,3,0,27.0,426.0,108.0
2,3,1,3,0,6.0,48.0,88.0
2,3,1,3,0,99.0,413.0,194.0
2,3,2,4,0,6.0,47.0,52.0
2,3,1,3,0,23.0,80.0,110.0
2,3,4,3,0,185.0,1039.0,756.0
2,3,1,3,0,14.0,111.0,174.0
2,3,1,3,0,129.0,764.0,403.0
2,3,1,3,0,14.0,136.0,59.0
2,3,1,3,0,26.0,152.0,203.0
2,3,4,3,0,74.0,703.0,976.0
2,3,1,3,0,25.0,231.0,178.0
